top - 11:49:56 up 13 days, 18:02,  2 users,  load average: 0.00, 0.00, 0.00
Tasks: 219 total,   1 running, 168 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.3 us,  0.2 sy,  0.0 ni, 99.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  8036348 total,  3582400 free,   902944 used,  3551004 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used.  6631604 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1402 ssqa      20   0  296644   8404   7516 S   0.0  0.1   0:00.01 gsd-mouse
 1404 ssqa      20   0  877524  25872  20284 S   0.0  0.3   0:00.25 gsd-media-keys
 1436 ssqa      20   0  827816  64772  49856 S   0.0  0.8   0:02.29 nautilus-deskto
 1438 ssqa      20   0  271932   6064   5048 S   0.0  0.1   0:00.38 gsd-disk-utilit
 1460 ssqa      20   0  508760  12588  10872 S   0.0  0.2   0:00.01 gsd-printer
 1462 ssqa      20   0  894316  67248  27328 S   0.0  0.8   0:00.38 evolution-calen
 1471 ssqa      20   0  384012   9752   8464 S   0.0  0.1   0:00.04 gvfsd-trash
 1485 ssqa      20   0  220928   8412   7568 S   0.0  0.1   0:00.32 ibus-engine-sim
 1499 ssqa      20   0  187904   5128   4512 S   0.0  0.1   0:00.02 dconf-service
 1511 ssqa      20   0 1142636  63308  24204 S   0.0  0.8   0:00.39 evolution-calen
 1524 ssqa      20   0  734968  24524  21076 S   0.0  0.3   0:00.04 evolution-addre
 1535 ssqa      20   0  876496  27248  23508 S   0.0  0.3   0:00.09 evolution-addre
 1674 ssqa      20   0 1347652 198584  36444 S   0.0  2.5   0:26.53 gnome-software
 1677 ssqa      20   0  606972  28568  23168 S   0.0  0.4   0:12.43 update-notifier
 1700 root      20   0  564908  24536  15048 S   0.0  0.3   0:20.16 fwupd
 2125 ssqa      20   0  789688  32504  26884 S   0.0  0.4   0:00.12 deja-dup-monito
 2207 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/3:1-cgr
 2331 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:1-cgr
 2379 root      20   0       0      0      0 I   0.0  0.0   0:00.27 kworker/u8:0-ev
 2382 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/0:2-eve
 2496 root      20   0       0      0      0 I   0.0  0.0   0:00.22 kworker/u8:1-ev
 2507 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/1:0-cgr
 2526 root      20   0  107772   7048   6048 S   0.0  0.1   0:00.02 sshd
 2592 ssqa      20   0  110072   5420   4408 S   0.0  0.1   0:00.38 sshd
 2594 ssqa      20   0   29660   5248   3684 S   0.0  0.1   0:00.08 bash
 2612 root      20   0       0      0      0 I   0.0  0.0   0:00.09 kworker/u8:3-ev
 2613 root      20   0       0      0      0 I   0.0  0.0   0:00.20 kworker/0:0-eve
 9771 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop8
 9848 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop9
 9879 root      20   0 1533568  27392  13956 S   0.0  0.3   1:10.95 snapd
10127 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop10
10176 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop11
10202 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop12
10288 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop13
10989 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop14
12015 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/27-mei_me
12016 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/17-mmc0
12131 root      20   0   25988   6152   4884 S   0.0  0.1   0:05.31 dhclient
12639 ssqa      30  10  938456 177716  96392 S   0.0  2.2   0:09.73 update-manager
12668 root      20   0  265416   7944   6884 S   0.0  0.1   0:00.02 gdm-session-wor
